03 juin 2022 07:30:43,877 [main] INFO  {org.hibernate.orm.connections.access} - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@45bbc52f] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode. 
03 juin 2022 07:30:43,924 [main] INFO  {org.hibernate.orm.connections.access} - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@31881aa2] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode. 
03 juin 2022 07:30:44,052 [main] INFO  {org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator} - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform] 
03 juin 2022 07:30:44,127 [main] INFO  {com.app.ems.dao.impl.HibernateDao} - Begin transaction. 
03 juin 2022 07:30:44,225 [main] INFO  {com.app.ems.dao.impl.HibernateDao} - Begin transaction. 
03 juin 2022 07:30:44,296 [main] WARN  {org.hibernate.engine.jdbc.spi.SqlExceptionHelper} - SQL Error: 1054, SQLState: 42S22 
03 juin 2022 07:30:44,296 [main] ERROR {org.hibernate.engine.jdbc.spi.SqlExceptionHelper} - Unknown column 'id' in 'where clause' 
03 juin 2022 07:30:44,305 [main] INFO  {org.hibernate.orm.connections.pooling} - HHH10001008: Cleaning up connection pool [jdbc:mysql://localhost:3308/emshbm?serverTimezone=UTC] 
03 juin 2022 08:33:29,400 [main] INFO  {org.hibernate.Version} - HHH000412: Hibernate Core {5.4.5.Final} 
03 juin 2022 08:33:29,785 [main] INFO  {org.hibernate.annotations.common.Version} - HCANN000001: Hibernate Commons Annotations {5.1.0.Final} 
03 juin 2022 08:33:31,885 [main] WARN  {org.hibernate.orm.connections.pooling} - HHH10001002: Using Hibernate built-in connection pool (not for production use!) 
03 juin 2022 08:33:31,891 [main] INFO  {org.hibernate.orm.connections.pooling} - HHH10001005: using driver [com.mysql.cj.jdbc.Driver] at URL [jdbc:mysql://localhost:3308/emshbm?serverTimezone=UTC] 
03 juin 2022 08:33:31,891 [main] INFO  {org.hibernate.orm.connections.pooling} - HHH10001001: Connection properties: {user=root, password=****} 
03 juin 2022 08:33:31,891 [main] INFO  {org.hibernate.orm.connections.pooling} - HHH10001003: Autocommit mode: false 
03 juin 2022 08:33:31,893 [main] INFO  {org.hibernate.engine.jdbc.connections.internal.DriverManagerConnectionProviderImpl} - HHH000115: Hibernate connection pool size: 20 (min=1) 
03 juin 2022 08:33:32,241 [main] INFO  {org.hibernate.dialect.Dialect} - HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect 
03 juin 2022 08:33:32,857 [main] INFO  {org.hibernate.tuple.PojoInstantiator} - HHH000182: No default (no-argument) constructor for class: com.app.ems.entities.Enseignant (class must be instantiated by Interceptor) 
03 juin 2022 08:33:33,218 [main] INFO  {org.hibernate.tuple.PojoInstantiator} - HHH000182: No default (no-argument) constructor for class: com.app.ems.entities.Etudiant (class must be instantiated by Interceptor) 
